"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Burundi","BDI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","28","40","54","27","32","59","54","46","73","74","74","69","69","42","80","79","77","68","70","72","73","75","76","78","87","92","88","84","91","92","93","93","98","94","93","93","90","88","92","90","90","89","",
"Belgium","BEL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","50","58","66","74","82","90","50","75","75","85","67","87","70","78","85","73","76","80","82","82","82","82","82","82","88","92","92","93","95","95","95","96","96","96","96","96","96","96","96","96","96","96","",
"Benin","BEN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","23","20","26","30","48","79","60","70","67","78","65","60","66","67","69","70","68","66","65","63","61","66","70","66","71","68","70","74","68","65","67","68","68","68","68","65","68","68","",
"Burkina Faso","BFA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","38","40","37","52","66","79","69","60","50","45","43","40","41","24","36","48","63","64","76","78","84","88","94","94","94","92","89","87","82","88","88","88","88","88","88","88","88","88","",
"Bangladesh","BGD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","3","6","13","53","65","68","69","74","78","79","69","72","71","71","74","77","75","76","81","88","83","89","92","93","88","93","88","91","94","97","97","97","97","97","97","97","97","",
"Bulgaria","BGR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","98","98","90","98","98","99","99","99","99","99","99","98","92","88","93","94","95","93","95","96","89","90","92","96","95","96","96","96","96","96","97","95","94","95","93","92","92","94","93","95","88","89","91","",
"Bahrain","BHR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","45","50","54","59","65","78","78","78","78","85","87","88","87","90","93","95","95","94","99","94","98","98","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","",
"Bahamas, The","BHS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","65","66","63","79","85","87","78","87","86","93","94","88","88","90","92","93","92","86","93","94","94","90","89","85","88","96","90","98","94","90","91","92","92","94","89","90","89","83","87","82","80","",
"Bosnia and Herzegovina","BIH","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","48","57","53","70","86","84","83","80","92","89","84","88","90","85","96","84","93","91","89","94","92","89","83","68","69","68","65","61","61","58","",
"Belarus","BLR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","96","97","93","96","97","98","98","98","99","99","99","99","99","97","99","99","99","99","99","98","99","99","99","98","97","98","98","97","98","98","",
"Belize","BLZ","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","21","40","51","43","43","49","85","53","59","71","86","76","69","80","82","83","81","85","84","82","96","94","88","96","97","95","99","96","96","97","98","98","96","99","95","96","95","90","97","96","82","79","81","",
"Bermuda","BMU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","13","17","15","13","20","21","55","57","58","59","53","54","57","57","64","58","61","51","65","79","84","88","91","96","90","89","88","86","92","93","88","96","92","87","89","95","94","83","89","79","74","75","69","",
"Brazil","BRA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","57","73","66","68","73","67","67","64","62","60","78","85","91","85","77","87","80","99","95","99","99","99","96","97","97","98","99","99","99","99","99","99","99","98","97","96","95","87","92","91","79","73","81","",
"Barbados","BRB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","41","47","53","55","84","88","84","85","84","85","87","92","90","92","97","92","99","92","97","86","94","93","91","90","98","93","92","75","94","94","85","93","90","87","95","96","92","92","85","92","89","77","85","",
"Brunei Darussalam","BRN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","73","80","88","94","90","98","99","99","99","99","99","96","92","99","99","99","99","98","99","94","99","99","99","98","99","98","97","97","99","99","94","91","95","96","97","96","98","97","99","97","99","99","97","",
"Bhutan","BTN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","21","21","20","21","36","44","51","58","64","79","93","89","86","84","81","85","85","84","71","77","78","78","78","88","87","93","90","95","99","94","95","95","95","94","97","97","97","97","97","97","93","97","97","",
"Botswana","BWA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","63","70","75","79","82","85","91","87","87","87","87","88","88","88","88","89","89","89","89","90","91","91","92","92","93","93","94","95","95","96","96","97","97","97","97","97","97","97","97","97","87","97","90","",
"Central African Republic","CAF","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","12","15","16","16","19","23","24","17","40","69","82","57","32","42","52","46","44","42","37","37","36","35","42","49","55","62","61","59","58","56","53","49","48","25","47","46","45","41","41","41","41","41","41","",
"Canada","CAN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","85","87","89","92","94","96","97","96","97","96","96","96","96","95","95","95","94","94","93","94","93","91","90","88","89","90","90","89","89","90","90","90","90","90","92","",
"Central Europe and the Baltics","CEB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","66.8879036295229","67.7919207442905","67.1462547043127","91.9077661782352","92.8092594523658","92.3177916326745","90.4316392369628","93.8792847658569","90.8166530947878","94.2950455602035","94.8905012029207","94.3597460523758","92.1070367622789","88.5297835110799","94.2568407779825","94.9627838528132","96.1096570254864","96.2898372792392","96.5566293190922","97.1642197454084","96.6852629472213","96.8493045098706","97.4912072366997","97.0669707935652","97.0973541573045","97.4375065470947","97.3773126837852","97.5657630749416","97.2743499224273","97.2197809086493","97.1557730668953","96.5300925637322","96.5760963349041","96.3453185821121","95.1812296839137","94.074369267319","93.7088679598753","93.0956741913455","93.4002955747738","93.1714422399389","87.50659455969","84.2051123606768","83.3059519643709","",
"Switzerland","CHE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","90","90","83","83","83","83","83","83","83","81","82","82","82","82","82","82","87","87","87","92","92","92","93","93","93","94","94","94","95","95","95","97","95","96","",
"Channel Islands","CHI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","94","95","96","95","94","92","91","92","95","92","97","99","89","94","96","97","93","96","98","94","97","96","95","96","94","90","91","92","96","93","93","91","90","90","97","96","93","93","93","95","91","92","94","",
"China","CHN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","78","84","88","63","77","95","95","98","92","87","81","75","80","84","83","83","84","84","85","85","85","86","86","93","94","97","99","99","99","99","99","99","99","99","99","99","99","99","99","99","",
"Cote d'Ivoire","CIV","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","30","31","41","56","57","54","52","55","57","65","68","66","57","68","71","71","70","78","84","73","67","63","67","64","49","74","69","59","67","73","70","75","73","66","68","65","",
"Cameroon","CMR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","16","21","25","31","39","44","44","48","56","56","48","37","32","38","46","39","43","47","46","49","51","53","61","64","68","73","74","80","74","79","76","82","83","78","74","71","65","59","60","62","62","65","",
"Congo, Dem. Rep.","COD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","18","23","25","30","30","40","39","41","44","41","38","17","25","33","39","27","21","20","20","15","46","35","42","49","57","61","63","64","64","65","66","66","69","68","69","65","63","65","64","65","62","55","56","",
"Congo, Rep.","COG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","49","49","55","59","52","67","69","69","73","75","75","64","60","55","47","38","42","18","21","23","34","35","37","50","65","54","61","59","69","63","75","83","80","80","80","80","67","70","75","73","68","68","65","",
"Colombia","COL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","13","26","28","43","51","51","45","59","74","81","82","78","74","94","84","95","90","80","78","79","88","93","93","93","92","94","95","95","92","95","88","88","94","92","91","94","93","93","95","95","90","86","88","",
"Comoros","COM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","42","18","71","71","40","85","87","40","51","56","59","69","43","49","67","69","70","70","71","67","76","67","66","65","76","79","72","79","85","85","86","90","90","90","90","90","90","90","86","",
"Cabo Verde","CPV","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","54","58","75","80","84","79","76","82","88","87","85","84","83","84","85","86","88","89","90","91","92","94","95","96","97","97","96","91","91","93","92","93","96","99","98","95","95","95","",
"Costa Rica","CRI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","60","79","87","84","76","78","90","93","97","77","90","96","92","89","87","91","84","99","83","88","82","82","94","89","88","89","90","90","89","81","83","83","90","91","95","93","93","96","94","95","95","89","90","",
"Caribbean small states","CSS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","4.87900853192115","13.3377979717085","47.4272950345244","52.3542618489126","63.3873729223157","60.7215210661587","69.439271704537","68.4743341543987","70.476273569302","77.8997338286387","78.2205105343108","84.7468235835566","76.3983334960779","85.6057422800466","84.4575623491553","85.0615380845015","90.6416206017676","86.2636189776267","90.6427951937084","87.2811995639793","89.4429151451699","91.130439653241","89.3699393642433","87.2450889844055","90.3909729097291","92.3610031598445","90.9268207891535","92.5675740452245","93.3122530741402","95.3853368694383","93.3277323392496","92.4027530024516","89.273695545766","93.3202550895266","90.7735392576061","92.6047233508309","91.6060203106685","89.8598038244328","90.3492131303899","88.1835409686111","81.2531905764491","80.2411380315673","84.9005436100558","",
"Cuba","CUB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","48","49","55","94","82","85","80","99","89","98","94","99","99","96","99","99","99","96","99","96","94","96","98","99","99","98","96","97","98","99","99","99","99","99","99","99","99","99","99","99","98","99","99","",
"Curacao","CUW","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","29","28","21","19","25","43","60","91","74","76","77","78","80","81","82","83","90","90","89","87","86","86","86","86","86","86","87","87","87","87","87","87","86","86","86","90","90","90","90","86","86","86","86","",
"Czechia","CZE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","97","96","97","96","95","97","97","97","98","97","97","97","97","98","97","98","98","98","98","99","99","99","98","97","96","92","94","97","97","",
"Germany","DEU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","25","50","50","47","48","50","70","75","75","75","75","75","75","89","90","92","91","91","92","92","92","94","94","95","96","96","96","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","",
"Djibouti","DJI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","15","18","20","27","19","22","68","75","85","53","41","41","42","41","41","31","21","23","50","49","62","66","60","65","67","74","73","84","85","84","83","80","71","74","75","81","86","83","62","50","50","",
"Dominica","DMA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","43","63","85","93","97","87","90","88","88","98","99","99","99","99","99","99","98","99","99","99","99","99","99","98","97","96","99","99","99","99","99","93","94","96","96","77","84","92","92","88","83","",
"Denmark","DNK","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","72","80","84","86","85","81","88","88","85","84","91","92","99","94","95","96","96","95","90","89","87","84","85","87","90","89","90","91","94","97","95","96","94","95","95","",
"Dominican Republic","DOM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","30","18","25","24","19","54","71","71","29","65","70","72","73","75","76","78","79","79","80","83","85","88","86","83","81","79","81","82","83","84","85","87","88","83","88","90","85","86","91","96","82","88","91","",
"Algeria","DZA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","68","67","73","81","82","83","85","86","87","88","89","90","92","84","83","80","83","81","84","81","83","91","92","88","92","95","95","95","95","95","95","94","88","80","80","80","79","79","",
"East Asia & Pacific (excluding high income)","EAP","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","0.382391791359528","0.422825695269223","0.890329377772757","54.3666106785216","60.3887726748036","66.0319244496378","55.3197395583756","67.0875852572194","82.5840962862776","85.2742223965395","89.4711554509761","85.9352046387842","82.5375406621013","78.7438457584484","75.3105946220928","77.9483395895039","82.7607149841331","81.9035963165807","82.4015164368462","83.1050655817208","82.816998672184","83.4323582517787","82.9413415465105","83.6720451947335","85.5652775147312","85.6384035278108","89.7427908545276","89.3650997968749","91.6280575464691","92.9113921108766","93.5734806854598","93.7474883725913","93.7715761498816","94.7635340797497","94.4694952533532","94.3652649559702","94.7311771075236","94.5320230040278","94.6271661672969","93.6763100417177","91.326149893767","85.594592946467","88.7088607268191","",
"Early-demographic dividend","EAR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","7.76552230584375","9.42023383808679","11.1830211812025","13.5810594647335","16.5375228143129","23.7022677550012","30.3351276627989","37.6406470606252","45.4404385901325","54.2932681382744","62.625108258231","57.2874821136615","61.5094529683792","65.3500130270737","70.1686377547848","71.1406642138084","70.7769023644024","66.4207191511491","66.4785462041846","67.6780895965198","67.8104159499842","68.353313395855","67.3525182888512","69.657784976648","72.1151880865226","74.4068926199594","75.3150524444521","75.9452854613815","77.0138716211087","79.9344957695595","81.831901117817","83.6109110133284","82.7305368946446","83.0627768970148","84.2222998162774","85.5796928215212","86.3362695453976","86.3745568253026","87.7850315423403","87.8282580915396","84.8667514101428","83.0840780606769","86.6116697921523","",
"East Asia & Pacific","EAS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","4.01740996139296","3.80839174542305","3.95788921204764","54.6603493691443","60.992667229196","66.8198154901159","56.8066892125364","67.6790857786916","82.1113526914688","85.1623461324494","88.984062258194","85.6131533083897","82.3365310031185","78.7232401310655","75.9969774114244","78.9293850883302","83.3830821076404","82.5052097285783","82.9563943297911","83.774439820843","83.6779642736933","84.3468613547738","83.9113332878473","84.5519896298657","86.3485130026242","86.3955618085347","90.1774404425261","89.6726399242416","91.7707845711892","92.9570552140338","93.6524937007981","93.835340497669","93.9230971933002","94.8195630402277","94.6378689529029","94.4708271493127","94.8139258623047","94.6341548562919","94.7305696360585","93.7982890492898","91.6312425621094","86.1483798127177","89.2260230671842","",
"Europe & Central Asia (excluding high income)","ECA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.710407256272","79.819022002674","80.2217670975997","80.471766173609","83.7404532501957","87.6603388961061","87.9204460708813","88.3974515689966","91.2223779266541","92.8921366437136","89.0933732770453","86.9037606408722","89.6669925091135","93.1993465917472","95.4200843710833","95.4102578895092","95.467062969363","92.8093277176758","91.4708155925111","93.6153515634176","94.0791817573407","94.9581831273278","91.1065439874516","92.3498280752372","91.0868421988391","95.5065028406191","95.5404287835938","96.4863193622474","93.3649230312837","94.7265461811384","93.9292221665559","",
"Europe & Central Asia","ECS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.2636703335765","82.7115423733175","82.7009043274442","83.9048961105464","86.2005798947858","88.0847424547583","88.1325246020962","89.5437580707914","90.7882895931837","91.6490002067932","90.8948332766273","90.3930100405179","91.5334806680944","93.0514876762107","94.3720893523077","94.6761596860608","94.7567509190583","93.6865194874171","93.3938948754882","94.2308040262441","94.7610207196093","95.0214123060637","93.537594113878","93.8076498576425","93.3044340726754","95.1518007047164","95.2018227160943","95.6253065014015","93.7366205341596","93.9421032536716","93.3234248371167","",
"Ecuador","ECU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","24","31","45","34","54","51","50","47","53","57","60","54","69","85","83","81","79","77","89","99","99","99","99","99","99","93","97","98","98","97","95","94","96","97","85","84","86","81","83","83","81","65","74","",
"Egypt, Arab Rep.","EGY","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","41","41","41","41","47","74","78","76","85","86","86","89","89","89","89","89","92","92","98","96","98","97","97","98","97","98","98","97","92","95","96","96","93","96","93","92","95","94","94","95","94","96","96","",
"Euro area","EMU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","12.256021605111","22.5624229927799","26.0703730078501","31.2104909475976","41.0811908090149","47.7049117760046","53.7265424187373","57.3200570365143","59.8749292185308","63.3479811408308","73.5088079071104","73.4221247562914","75.0834531668901","77.3253334431732","79.9280372667476","81.4256159227703","83.6269028698051","84.0361073605272","83.6394574875521","86.0751816589608","86.9195572520957","88.4260386178934","89.5036202756844","90.8861093570303","91.4617968380178","91.5541043280969","92.7024543864197","93.4162830967497","93.5488406373734","93.416664032182","93.2592183176083","93.4905902998352","94.0571359157521","93.6954685937534","93.5760748790905","93.2137676147859","93.3134664413171","94.2516225395704","94.4528972135648","95.0963296814304","94.9827977189938","95.0143122834821","94.7796144551577","",
"Eritrea","ERI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","51","58","66","73","79","88","76","84","83","92","96","95","94","92","91","93","95","96","98","94","90","97","95","93","93","93","93","93","93","",
"Spain","ESP","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","8","27","40","68","79","83","85","84","97","99","85","83","90","90","90","90","93","93","95","94","96","97","98","97","97","97","97","98","98","95","97","97","95","96","96","97","98","98","98","96","95","96","",
"Estonia","EST","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","76","81","86","88","89","92","93","95","95","95","96","96","96","96","95","95","95","94","94","94","93","93","93","93","87","88","91","89","82","",
"Ethiopia","ETH","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","4","3","7","7","8","12","10","13","15","23","38","17","12","22","54","38","54","51","44","37","36","35","36","35","35","40","44","49","54","59","64","68","62","55","54","56","57","59","55","58","60","54","56","",
